Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
gssb_get_status,'',gssb_set_burn_config,'4509343975967544141 7765566322819422656 ^Gs@dL(GUJ 201646861999214744981605806691511626223  -267239790446628963967259555351290718084 -33034222',drp_add_hrs_alive,'263145153655796464024666407869886954136',obc_get_tle,'',obc_update_tle,'',0,6.956824064254761,444020.0,10656.0
drp_add_hrs_alive,'dfq]'kZ',gssb_get_temp_int,'',fp_set_cmd_unix,"'10307454496399484227 1854510826551178092 197268139453463787598093923227457449999 sfFL' m""v2(_eX4'",fp_test_params,'-993630538 -7670685449919738369 13446984587566743726',set_state,'16720056272527408841 JpqqA 3534221440553800376',-6,6.436058521270752,444020.0,10656.0
drp_ebf,'319644846792057344265364898598605327527',obc_get_tle,'',drp_set_var,'-622034691 8399575537275379818',fp_set_cmd_unix,'566236168185131912 8387138350565771460 12213740068864035758 -271226301247234156304797596912779781764 885846871',gssb_arm_auto,'1141649087',-6,6.433684825897217,444020.0,10916.0
com_send_data,'-8919280932008172935',gssb_set_addr,'14004101331534578653',gssb_fss_get_sun,'',gssb_arm_manual,'',drp_ebf,'16672337656701361341',0,7.206317186355591,444020.0,10688.0
obc_set_pwm_duty,'-192473296 ',gssb_get_model,'',drp_clear_gnd_wdt,'',com_send_rpt,'%`iV-\c09B 454330554',fp_del_cmd_unix,'YKQOsb_!|',0,7.0793983936309814,444020.0,10676.0
obc_get_mem,'',rw_set_speed,'-157155469704359524090613422542997052689 1208724263',drp_test_system_vars,'',com_send_cmd,'-4192611892925995111 -9146525333872249295',rw_set_speed,'-360315409 1905383616637316888',0,10.950920581817627,444020.0,10684.0
gssb_get_uuid,'',com_send_cmd,'234176320117010105949877412934922248380 N',com_send_rpt,' -3632596998026653589',tm_send_all,'-1761355703 }>',gssb_arm_auto,'-333363540',0,7.196925401687622,444020.0,10900.0
gssb_get_status,'',obc_get_sensors,'',eps_get_hk,'',gssb_unlock_config,'1WV>*ML',test,'[~CKD+FrC',0,7.008411645889282,444020.0,10884.0
com_debug,'',gssb_select,'5956582637268801344',gssb_select,'3200245134773746316',gssb_update_status,'',com_reset_wdt,'-835525571',0,7.585010051727295,444020.0,10628.0
fp_set_cmd,'1005006284 -4589028305505292377 R^WnO-LD }T8_\}#|DI 6341625002038243380 1884842773 4474533256256159352 -1885841370 -409334231 -140721465505694856552997848989268562141',gssb_get_status,'',gssb_set_addr,'-1072609775',gssb_get_sun,'',set_state,'-305766675782484555734198478374571336597 -2792994105433209379 4098669878018136800',0,6.896600246429443,444020.0,10804.0
