Command,Parameters,Command.1,Parameters.1,Command.2,Parameters.2,Command.3,Parameters.3,Command.4,Parameters.4,Exit Code,Total Time
eps_set_heater,'439356643 5501509119087581154',fp_del_cmd,'8385012792740404474 -214257419 -287598992 -240119245658128844335876792721314386670 |M5`~u.6* ',com_send_tc,'12802610272560267258 -1114649654',obc_ident,'',eps_hard_reset,'',-6,7.363373517990112
obc_update_status,'',fp_set_cmd_dt,'17039552877881678562 7261196602242934277 8719185160080335633 -828190833 -1812600178521101820',gssb_get_burn_config,'',obc_get_time,'412753855660960289',gssb_get_status,'',-6,6.30311131477356
rw_get_current,'',obc_get_sensors,'',fp_set_cmd_dt,'1350297455609383466 55273718454013119076873048966552161338 -884651805 44975858958319820642937332952461472193 66969441417194081063517326019577981250',com_update_status,'',gssb_scan,'6g 1954561309',-6,6.724712133407593
fp_del_cmd_unix,'-2967913395216699330',obc_get_mem,'',obc_get_sensors,'',gssb_antenna_release,'-3641256733516101549 9331314555423174519 -5880117188674614880 330905647004317112883457611051325277583',obc_update_tle,'',-6,6.481658220291138
rw_set_speed,'-150801906 *._*XCS=q',com_send_tc,'-456362877 _Gz(U',gssb_update_status,'',com_send_rpt,'-1981299208 1079637976',obc_get_time,'-2120195959',-6,7.572651624679565
obc_pwm_pwr,'10452997339524018258',eps_hard_reset,'',tm_get_last,'',fp_del_cmd_unix,'11706525441041484876',com_set_config,'10085778517652402215 hT',-6,6.447366237640381
tm_send_all,'-321803427 -4969644258639823417',fp_del_cmd,'1409221634 91303962527982737626416572337302116844 274595286 -205231889725042794803959316471290710947 12635263429429200430 -690173169',fp_show,'',tm_parse_status,'',drp_get_vars,'',-11,6.391004800796509
com_ping,'14983531311005314670',rw_get_speed,'',fp_del_cmd_unix,'19597962066604016463191804561744619970',fp_show,'',gssb_get_status,'',-6,10.019449472427366
com_set_node,'-261944719227108304634526835468129860445',fp_set_cmd_unix,'-214768748892283284774382544250775450343 1489145919 289390969592872721333860091067028575606 5110588136677844929 416020222',rw_get_current,'',tm_parse_status,'',com_reset_wdt,'-274444545',-6,6.256075382232666
fp_set_cmd_unix,'559807922 -4148305985452638578 -327467588587949711130693251450761331126 -456156534 3204086011248081657',com_send_tc,'-771405195 121971929',obc_get_sensors,'',gssb_pwr,'11399289600310257831 1934501124471621340',fp_set_cmd,'lYtL;2d<4 T|Z8<x$j| 207519192105270534350355350421453706847 -2043126645 -1247224273 210289518 184652763279327066413657639398284707386 -256398122550688568033466578548510669675 178926766556312226789704818382168977526 -645343571',-6,6.890244007110597
gssb_get_temp,'',gssb_get_status,'',gssb_get_temp_int,'',fp_del_cmd,'-333798346186756400931296237955697592988 8432263054781926603 -35792220010869226033232945900572085878 -37595028970805258445709027069869609209 52295089358956390 -452248744',eps_update_status,'',-6,6.428752660751343
gssb_fss_set_config,'84702817088451807173176684204028086377',gssb_get_sun,'',obc_set_tle,'-3231092172122986479 6960872201884155369',obc_ident,'',com_send_tc,'2560279437378344139 4432776723550981337',-6,7.955732345581055
com_get_node,'',rw_get_speed,'',drp_clear_gnd_wdt,'',rw_set_speed,'8162516979905209875 11893393110556869006',com_send_tc,'2226470499019800175 5612552573304038422',-6,7.551394462585449
fp_set_cmd_dt,'117280705571747969291501328608457666089 -1998192150 4510174536812135306 -116157426 8459930245583499496',gssb_get_sun,'',obc_reset_wdt,'',gssb_get_sun,'',eps_get_hk,'',-6,6.870288848876952
drp_set_deployed,'-25290394820480168752351699863846178122',gssb_reset,'',drp_set_deployed,'-54481515783730570378708001144130250887',tm_send_status,'1358821187617130087',eps_get_hk,'',-6,6.840130805969237
gssb_msp_cal_temp,'3172069099102099024 -60405406319313931056083988956727131511',fp_del_cmd,'188174012386168778990193928025126739511 -58274860073723605103525946166766147456 109813544 -641709890 -9161535042928641433 7O.Dq^Pv',test,'324338962',com_ping,'-1350632742181717359',gssb_msp_cal_temp,"'FOq,eM-6 o)bvN&9-p7'",-11,6.393855571746826
gssb_update_status,'',fp_set_cmd_unix,'7719202005142655105 -216134998938073153714019185953761305042 10187592525673737427 ) 16818016635312404536',com_send_rpt,'6714003397942755144 -101010497295387351',obc_set_pwm_freq,'7054478901546003203 <~C8S',gssb_antenna_release,'-1315095551 -217302544002526867622073390204230547974 cv/'Z]Gv 165077947436852239348163096264080149278',-6,6.431549072265625
gssb_antenna_release,"'FviIk_,+ 5562435219295758362 17332431298822694547 -306818989491682562794313610764621978655'",gssb_get_status,'',com_send_tc,'10809532161062532776 -2252141340040731498',gssb_get_model,'',fp_set_cmd_dt,'4z2UQm`D6 -5101956731438420662 -199908423450832130460898078857966156270 341204433 -117974326',-6,7.468120574951173
com_send_data,'N:4e~',fp_del_cmd_unix,'-63491914447615564046479790164851279579',gssb_get_model,'',drp_test_system_vars,'',gssb_msp_get_temp,'',-6,7.330792188644409
com_send_tc,'1045558950 -181758313897198129905224581763054996739',gssb_burn,'',fp_reset,'',drp_get_vars,'',com_get_config,'',-6,7.54932427406311
obc_reset_wdt,'',gssb_get_model,'',com_send_tc,'-2253375347972809717 -626483526975234021',test,'90960276457619727',rw_get_speed,'',-6,7.41666054725647
gssb_set_burn_config,'2934757478490405719 -665097088 43032732664435252 81047547637770968147136620280438476758 -1631300041943318045 -5572594665222643775 -4044392',eps_get_hk,'',com_set_node,'1327307333729673905',com_set_config,'1171591209 -3664234920101545300',fp_set_cmd,'-1391883368 8278441358512584182 4299888290454251823 -1173103213337356407 1835475944 -5575562431129864943 -7185215425368848706 -327506616159999092399634707553817571999 2018826536326140588 ',-11,6.511241436004639
com_send_tc,'-947948522 180589981142846387963950124858670054950',gssb_get_sun,'',gssb_fss_commit_config,'',drp_set_deployed,'289055528696027838724895942130703429641',drp_get_vars,'',-6,7.737569332122803
