Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
fp_set_cmd,'-1936579845 -1765071822 -1568597001 -1146528136 588563079 -1103533748 -2134620731 996436478 |lZ0:u RYfTrBrJ^',drp_add_hrs_alive,'1506869834',com_ping,'2120940928',tm_parse_status,'',gssb_commit_addr,'',fp_set_cmd,'1184729540 -132447725 -1765519179 1008800097 253722142 -697953551 1980482629 -1600004744 zd*g01CA^ ]',gssb_set_burn_config,'105322310 1224452015 865612906 -956880222 -1339589354 -1255617418 1418456090',fp_del_cmd,'-593742802 -2050165526 -493597363 -819435577 -937668521 798218547',com_send_cmd,'864158191 $arX<r',gssb_get_status,'',-6,6.20390772819519,444020.0,10704.0
gssb_get_burn_config,'',fp_del_cmd_unix,'-1923844254',com_reset_wdt,'1647076654',gssb_get_uuid,'',gssb_pwr,'2024893232 546053224',gssb_pwr,'-285799265 -1544961022',fp_del_cmd_unix,'1413490759',obc_update_tle,'',drp_get_vars,'',rw_get_speed,'',-6,6.280839443206787,444020.0,10628.0
drp_clear_gnd_wdt,'',rw_get_speed,'',gssb_get_version,'',gssb_get_temp,'',gssb_fss_commit_config,'',obc_get_sensors,'',gssb_get_uuid,'',obc_get_tle,'',gssb_get_model,'',gssb_commit_addr,'',0,7.864129066467285,444020.0,10592.0
drp_test_system_vars,'',obc_update_status,'',init_dummy_sensor,'',tm_send_from,'14144324481115665357 847088393644641825 12194307438690409562',gssb_set_addr,'-59222154',set_state,'16043091951875667399 5348379913758034740 -1555223041',obc_set_pwm_freq,'889322044 50512675504529161478954407728051355166',com_send_tc,'201341768 uSeWbk',tm_parse_status,'',gssb_set_burn_config,'-118935416 -762808936 -1136880199 467418180 -1061665982 -1586237959 -1606467645',-6,11.223658323287964,444020.0,10708.0
fp_test_params,"'38943999 'P)i#,HX""O -2118306838'",gssb_scan,'-1566336869 1691065666',gssb_arm_manual,'-523311125',gssb_pwr,'-225831830 1384045656',eps_hard_reset,'',gssb_get_burn_config,'',fp_del_cmd_unix,'-1506051192',com_send_tc,'-1565732052 e$zg',gssb_update_status,'',gssb_get_uuid,'',-6,6.84450626373291,444020.0,10864.0
gssb_select,'1567209441',com_send_rpt,'-1152922235 9k?vC3{rn',com_set_config,'O!#:&Fbp vf0Rf',obc_update_tle,'',drp_get_vars,'',eps_set_heater,'342004572 -416125846',gssb_get_sun,'',com_update_status,'',com_debug,'',drp_set_deployed,'2025581203',0,7.303908348083496,444020.0,10544.0
com_get_config,'uK',gssb_fss_get_temp,'',gssb_msp_cal_temp,'354016840 -2015498709',eps_hard_reset,'',obc_get_mem,'',tm_send_from,'13845079138039800580 8375487798260618265 13263515260839348683',fp_test_params,'-1982847063 pV6TPe( 1417325243',tm_send_last,'16783310649421422429 3812431330762515008',com_update_status,'',com_send_cmd,'1971879117 Tq',0,7.65222954750061,444020.0,10780.0
gssb_fss_commit_config,'',fp_reset,'',eps_get_config,'',com_reset_wdt,'930875296',tm_parse_status,'',obc_set_pwm_freq,'-655556201 -38146208468921179333553619946379435237',gssb_fss_set_config,'-915677211',eps_hard_reset,'',gssb_reset,'',gssb_select,'-273139602',0,7.701045989990234,444020.0,10616.0
gssb_pwr,'307658224 1750065971',obc_set_pwm_freq,'-2042913792 51776040396712915696137853817555101306',obc_update_status,'',tm_send_from,'7005816272023270969 1478185245962642886 1078021683499171999',com_reset_wdt,'113877671',gssb_get_model,'',obc_pwm_pwr,'281481252',gssb_arm_manual,'1907706662',com_get_config,"'$,g$'",com_send_rpt,'-1629746074 q*{yOO4f',0,7.441476583480835,444020.0,10892.0
gssb_get_status,'',gssb_pwr,'-192395151 1494115873',fp_test_params,'-1189157418 r;>QS -1627597582',gssb_set_burn_config,'-1200264237 1516535091 -782193236 379793755 104654789 247938266 1722149872',tm_send_last,'8787179499755197425 2572625179583725441',drp_set_var,'-1770000207 -1096923625',drp_ebf,'-221572131',gssb_get_temp,'',com_send_rpt,'382417329 s',obc_get_mem,'',0,7.235381841659546,444020.0,10624.0
obc_set_pwm_duty,'-729969754 -1913872960',gssb_fss_commit_config,'',fp_set_cmd_unix,'165007558 -1485076804 -1342097532 [Q Jg`7`',com_ping,'954820461',eps_set_heater,'-666187887 -30777077',obc_get_time,'1043347826',gssb_select,'670405322',gssb_reset,'',fp_del_cmd_unix,'431916882',drp_ebf,'905680616',-6,6.581943511962891,444020.0,10864.0
gssb_update_status,'',fp_test_params,'129161766 D}ERUL&7VR 864330479',gssb_get_temp,'',obc_set_pwm_freq,'133192876 302446104660092294007516498518448313432',gssb_antenna_release,'241706882 555007361 2094327705 950479080',com_send_rpt,'544496733 OFrBl}',rw_set_speed,'-1356284912 1990630038',drp_clear_gnd_wdt,'',eps_get_hk,'',drp_set_deployed,'-1999711359',0,7.409433603286743,444020.0,10624.0
gssb_get_temp_int,'',drp_add_hrs_alive,'746697675',gssb_get_model,'',drp_clear_gnd_wdt,'',gssb_get_version,'',gssb_msp_get_temp,'',gssb_get_sun,'',gssb_update_status,'',rw_get_speed,'',gssb_unlock_config,'-1139072886',0,7.583590984344482,444020.0,10724.0
obc_set_pwm_duty,'-2044761141 -453743769',obc_get_mem,'',gssb_get_status,'',gssb_scan,'1810763053 338937764',obc_get_sensors,'',obc_set_pwm_duty,'-1805004258 -1647625988',set_state,'10719522745890864251 16666557384250407732 -1328062354',obc_set_pwm_freq,'-1083168383 252128958876242539470138571474686805069',com_get_node,'',obc_prop_tle,'-2946003607346612922',0,7.211559057235718,444020.0,10580.0
com_get_node,'',gssb_msp_get_temp,'',gssb_get_temp,'',com_send_tc,'228433622 ',rw_get_speed,'',tm_send_last,'3721864072907328202 5563717066863236665',gssb_pwr,'-1472187234 -2015804323',fp_set_cmd_dt,'-76490922 118948732 -1289091652 D; #g{',gssb_fss_get_temp,'',gssb_arm_auto,'1124416733',-6,7.381961345672607,444020.0,10568.0
set_state,'15781385989991107107 2856537402283325423 -1361076704',drp_clear_gnd_wdt,'',com_ping,'1135048779',com_get_node,'',gssb_reset,'',drp_add_hrs_alive,'1706418439',eps_hard_reset,'',com_ping,'-1056502844',obc_update_status,'',gssb_pwr,'1065490889 600442148',0,12.510228157043457,444020.0,10652.0
gssb_set_addr,'163768380',tm_set_ack,'6846075827953858058 1138793068627882011',gssb_fss_get_temp,'',com_ping,'1415477943',gssb_get_temp,'',obc_update_tle,'',gssb_burn,'',gssb_get_version,'',com_update_status,'',fp_reset,'',0,9.357603311538696,444020.0,10720.0
com_reset_wdt,'689538090',tm_send_all,'13821736699856775647 7302995646611661418',obc_get_time,'-1718235301',gssb_get_model,'',fp_test_params,'585711451  -1310924402',obc_get_sensors,'',obc_ident,'',drp_clear_gnd_wdt,'',com_send_rpt,'-1723549868 H9#k',obc_update_tle,'',0,7.3356773853302,444020.0,10664.0
obc_set_pwm_freq,'1998815750 -25846977869096171537367779359581264184',com_send_cmd,'-1871748191 ',eps_get_config,'',tm_get_last,'13252397129581890633',drp_ebf,'146167135',com_get_node,'',com_get_config,"'GAjW""w'",tm_send_last,'13039237535236764721 2740877612875079297',gssb_get_burn_config,'',obc_debug,'-522881020',0,7.286567687988281,444020.0,10680.0
obc_set_pwm_freq,'1473272842 77139235655325534047119629576871203398',obc_set_tle,"'2141038315 ,JpF_\%'",gssb_get_temp_int,'',gssb_commit_addr,'',fp_del_cmd_unix,'-2064893706',gssb_update_status,'',gssb_fss_set_config,'-1707697402',gssb_msp_cal_temp,'-812535226 -338154832',com_ping,'-1663668138',gssb_scan,'-225031397 41640819',-6,6.5130860805511475,444020.0,10660.0
rw_set_speed,'-2078665535 525903909',gssb_arm_auto,'1989948587',obc_prop_tle,'-1069742779227743873',gssb_fss_commit_config,'',drp_set_deployed,'-64678432',obc_get_time,'-138026513',com_set_config,"'<#S_;,+Q -5qAm'",drp_add_hrs_alive,'1385071625',gssb_get_uuid,'',init_dummy_sensor,'',0,7.432519435882568,444020.0,10660.0
gssb_get_uuid,'',gssb_reset,'',gssb_fss_get_temp,'',drp_set_var,'1244322816 -1566476914',obc_update_tle,'',obc_ident,'',gssb_get_temp_int,'',gssb_scan,'1632201070 246198963',drp_get_vars,'',eps_update_status,'',0,7.258708238601685,444020.0,10816.0
com_reset_wdt,'-1197074223',gssb_msp_cal_temp,'-1918381071 -1653919515',gssb_set_burn_config,'-238596673 511335300 2000360087 -1244976182 -1887360884 -1428742089 658263378',gssb_fss_get_sun,'',gssb_unlock_config,'-248399444',gssb_msp_get_temp,'',gssb_pwr,'336371321 -2077456666',tm_send_status,'2613581',obc_get_tle,'',drp_add_hrs_alive,'-284934349',-6,6.86160683631897,444020.0,10596.0
gssb_get_burn_config,'',tm_send_last,'17086905116390094140 15810932106734884333',gssb_pwr,'-857999896 -924049133',gssb_set_addr,'748766473',gssb_get_uuid,'',fp_del_cmd_unix,'384399637',gssb_get_version,'',fp_set_cmd,'-1146350348 -358652292 2083912050 -1980492440 -788986733 -1032943027 992980807 2009424224 XnUWf;? oZFQg',com_set_node,'-1882825509',com_reset_wdt,'-448301983',-6,6.537391901016235,444020.0,10892.0
tm_send_all,'11268464192932314491 4708300381325094219',com_send_rpt,"'-994052167 hKrA"">W'",obc_reset_wdt,'',gssb_get_temp,'',drp_clear_gnd_wdt,'',fp_reset,'',obc_set_pwm_freq,'-299966431 -115653940339135985559193233096839569776',tm_set_ack,'13529389698687376475 872937325143562041',com_get_config,'j0',eps_update_status,'',0,7.316798686981201,444020.0,10832.0
gssb_get_status,'',gssb_fss_get_sun,'',com_send_cmd,"'-1395209134 .,f'",drp_add_hrs_alive,'-1270622818',gssb_get_temp_int,'',com_send_tc,'1442645890 /DoI3',obc_set_tle,'-1776300427 wJv9|D*A',obc_ident,'',tm_parse_status,'',com_send_cmd,'-5757249 46qnR',-6,8.499184131622314,444020.0,10840.0
gssb_fss_get_temp,'',gssb_get_burn_config,'',obc_set_pwm_duty,'-668946970 1146820586',tm_send_status,'-234883115',gssb_get_temp_int,'',gssb_msp_get_temp,'',com_reset_wdt,'798390288',gssb_reset,'',com_set_config,'<KS%igN; ',com_set_node,'1911856382',-6,6.591613292694092,444020.0,10752.0
drp_clear_gnd_wdt,'',gssb_antenna_release,'-275376439 1449344047 -1530685221 891586464',obc_update_tle,'',gssb_burn,'',fp_del_cmd,'1265390161 -1620436074 -1218840449 -818946125 -2124709063 -1527517435',gssb_arm_auto,'-1010706817',gssb_pwr,'-797343758 -1659758121',drp_get_vars,'',obc_get_tle,'',com_get_config,"']tu""vZM=M8'",-6,6.6065027713775635,444020.0,10588.0
drp_add_hrs_alive,'-997641264',obc_get_time,'436078931',obc_set_pwm_duty,'1619347203 -416740573',tm_set_ack,'1015333088313476615 13166792288302550587',com_reset_wdt,'-85858292',obc_set_tle,'-1624470332 -',drp_ebf,'58084976',com_reset_wdt,'-1290604685',gssb_set_addr,'898020451',gssb_set_burn_config,'1609031218 -1078186713 -792573456 -1790101942 1722237973 760580839 -780400748',0,7.284668684005737,444020.0,10688.0
com_send_tc,'-949247099 x&uq',gssb_fss_get_sun,'',gssb_get_sun,'',gssb_set_burn_config,'-991405394 -484418070 154719108 2054153521 624556048 1357805880 -125680172',gssb_unlock_config,'1651385763',gssb_select,'348510844',com_get_config,'*j',gssb_get_temp_int,'',drp_set_var,'-1697030991 2049119343',obc_prop_tle,'-7063184138118492248',-6,7.279213905334473,444020.0,10540.0
gssb_fss_get_temp,'',gssb_select,'235024060',obc_update_status,'',com_ping,'843470536',gssb_commit_addr,'',fp_set_cmd_dt,'-752666977 -1057656899 100985573 nY *',drp_test_system_vars,'',gssb_get_version,'',set_state,'9513264978483310852 349312145500610137 -1052125455',drp_get_vars,'',0,12.92991304397583,444020.0,10840.0
tm_send_last,'8328719376023921129 15984834627090305035',fp_del_cmd_unix,'-84389606',gssb_msp_get_temp,'',fp_set_cmd,"'345646525 332839750 -1013283153 -960813637 1634447956 1814519073 -2007872444 -289816723 7[H$fbaDLY S=!""v\'",obc_set_pwm_duty,'-750875613 -1775068359',gssb_arm_auto,'-1908273191',obc_get_tle,'',gssb_fss_get_temp,'',help,'',gssb_arm_manual,'-1564100890',-6,6.3611321449279785,444020.0,10740.0
