Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
obc_update_status,'',fp_set_cmd_dt,'-2070358748 507883634 -375035298 :BKx{x F',rw_get_current,'',rw_set_speed,'-2046312675 1961290340',gssb_burn,'',gssb_fss_get_sun,'',com_debug,'',gssb_get_temp,'',gssb_set_burn_config,'-1861526800 -1035061240 -1034380295 -1676303377 -1687366927 265787891 1341631782',gssb_get_sun,'',-6,6.320539951324463,444020.0,10608.0
obc_get_sensors,'',rw_get_current,'',com_send_cmd,'294089041 UA',obc_reset_wdt,'',fp_del_cmd,'-647529629 1285990247 888508719 773925754 -752491313 300877012',gssb_get_uuid,'',rw_get_current,'',tm_send_from,'7536708696634790554 9195509970525825161 11088881990496278718',gssb_select,'930342032',rw_set_speed,'521196362 1102988344',-11,7.7004172801971436,444020.0,10628.0
gssb_fss_get_sun,'',help,'',fp_set_cmd_dt,'-710498091 1957692667 1811065462 V /nwWo\',gssb_get_model,'',gssb_get_sun,'',gssb_set_burn_config,'-561452567 -806963972 -639732749 -654257723 530946596 1013730361 -2039734530',com_reset_wdt,'63767549',com_get_node,'',gssb_reset,'',drp_set_deployed,'1059679812',-6,6.508664608001709,444020.0,10708.0
com_set_config,'ovaB{3~TwG %YVti=?7l',init_dummy_sensor,'',gssb_commit_addr,'',com_send_tc,'-1462139053 \[[}(g',obc_get_time,'-1794606120',gssb_fss_get_sun,'',fp_show,'',com_get_config,'[:7x',com_send_rpt,"'-1485046381 ""]s\/=,E}'",tm_parse_status,'',-6,7.577908754348755,444020.0,10620.0
com_send_cmd,'-1956756290 mJPdCArWq',fp_del_cmd_unix,'475971442',obc_get_time,'428505908',fp_set_cmd_dt,'-1303293977 -1655478297 -1948694398 KZ;<B? Jc6s)',tm_set_ack,'12236646911233495036 6835852749878294112',fp_del_cmd,'2104800208 -1647998246 921945716 -1608203297 -288169868 -721362685',gssb_unlock_config,'-807323142',obc_prop_tle,'-1510291073722644295',fp_set_cmd_unix,'-1486745164 -546889817 199298689  k',drp_set_var,'-1695064783 361228175',-6,7.476133346557617,444020.0,10612.0
eps_update_status,'',gssb_get_sun,'',gssb_get_temp,'',gssb_select,'-1735584857',com_send_rpt,'-2070053028 i8:sagwOT',gssb_burn,'',eps_get_config,'',set_state,'10759303121306569654 12164146389351653340 744000007',tm_send_last,'13771588903376560849 6903731240079858160',fp_set_cmd_dt,'-551201851 1507349519 1367163313 vkF R<',-6,6.8478169441223145,444020.0,10828.0
gssb_update_status,'',obc_set_pwm_freq,'-1458234029 -289670084818157913140107639794245904741',tm_get_last,'16581540959356667499',gssb_pwr,'5581201 893703473',obc_update_tle,'',gssb_update_status,'',gssb_arm_manual,'-1422309312',obc_update_status,'',gssb_get_burn_config,'',tm_send_all,'9518479974216591571 11300483901065044434',0,7.2663867473602295,444020.0,10708.0
obc_reset_wdt,'',test,'PHXD',obc_get_time,'-1008536997',com_send_cmd,'-1032766211 W57a:f6@<v',gssb_unlock_config,'667957795',gssb_get_model,'',rw_get_current,'',gssb_unlock_config,'-1900585455',gssb_commit_addr,'',init_dummy_sensor,'',0,7.392668724060059,444020.0,10896.0
com_get_config,'',eps_hard_reset,'',help,'',obc_set_pwm_freq,'-1826415649 38813024432316351758573475313437363800',fp_set_cmd_unix,'-261884272 -234427943 -1184272236 g rN}',drp_set_var,'-724599124 -1154497846',eps_get_config,'',obc_get_mem,'',obc_set_pwm_freq,'-977266569 -228880917170903322608972543094149924160',com_debug,'',-6,6.5122058391571045,444020.0,10672.0
obc_set_tle,'-1435490671 %Xv',obc_get_sensors,'',gssb_fss_commit_config,'',obc_pwm_pwr,'331262148',com_send_rpt,'1741845446 lku',obc_set_pwm_freq,'436690508 137180661422829174607120287178825755187',obc_pwm_pwr,'1177592170',tm_parse_status,'',eps_get_config,'',obc_update_tle,'',0,7.3346474170684814,444020.0,10612.0
gssb_fss_set_config,'-1105482412',gssb_get_burn_config,'',drp_set_deployed,'-8389528',obc_set_pwm_duty,'-747090045 -662269533',tm_get_last,'6652842141803735536',tm_send_status,'1212919114',fp_set_cmd,'2117236550 -546941784 731572557 626842301 1838514919 325368312 -1264672241 -2010418770 T{rU7&? %5K',init_dummy_sensor,'',com_send_cmd,"'-720397685 ]f3O""Q'",gssb_pwr,'-598125735 -1153738042',-6,6.690043687820435,444020.0,10628.0
gssb_fss_commit_config,'',gssb_fss_get_temp,'',com_set_node,'-1303187027',com_get_config,'>(',gssb_fss_set_config,'-2098565436',drp_clear_gnd_wdt,'',com_set_node,'1988483504',init_dummy_sensor,'',tm_send_all,'12042192242745545084 6867780294571830229',eps_get_hk,'',0,7.254035949707031,444020.0,10596.0
tm_send_all,'4308134932230206047 4129206618442254945',gssb_msp_get_temp,'',com_set_config,'d;RC=crlG xf2^C[k]_M',init_dummy_sensor,'',gssb_msp_cal_temp,'-1164636205 -97644608',rw_get_current,'',drp_get_vars,'',gssb_get_sun,'',tm_send_all,'3394460626092780501 14242024963741999197',tm_send_all,'14661272282900462898 61188377971552523',0,7.303952932357788,444020.0,10636.0
test,'Oy',set_state,'768389049745009056 13459334930989125407 694970917',gssb_set_addr,'-2074329168',obc_update_tle,'',gssb_burn,'',gssb_commit_addr,'',com_send_tc,'1530072866 bxciV!TFV<',drp_clear_gnd_wdt,'',drp_test_system_vars,'',fp_show,'',-6,7.665012359619141,444020.0,10660.0
gssb_arm_manual,'1316459725',eps_hard_reset,'',eps_get_hk,'',gssb_update_status,'',eps_set_heater,'564449345 -1037311570',obc_pwm_pwr,'674722540',com_update_status,'',gssb_msp_cal_temp,'1035328496 -1620948649',gssb_get_burn_config,'',obc_update_status,'',0,7.271825551986694,444020.0,10664.0
obc_set_pwm_freq,'290521481 -5336430566001334887789651261039126185',gssb_get_burn_config,'',rw_get_current,'',gssb_burn,'',gssb_unlock_config,'-402165093',drp_ebf,'-845032068',drp_add_hrs_alive,'113933073',gssb_unlock_config,'1627576405',gssb_get_model,'',eps_update_status,'',0,7.410533666610718,444020.0,10632.0
gssb_get_status,'',com_debug,'',obc_get_time,'-2061679958',rw_get_current,'',com_update_status,'',drp_test_system_vars,'',com_update_status,'',com_reset_wdt,'-752877660',help,'',fp_set_cmd_unix,'456081114 578193496 2066626162 lh!BnHd :k4',-6,10.280992984771729,444020.0,10628.0
rw_set_speed,'2052327934 -655202988',fp_reset,'',obc_get_tle,'',init_dummy_sensor,'',gssb_set_burn_config,'-1750185667 -408768836 -718729550 -62175604 -702234572 -2051398136 -1678069362',com_get_node,'',fp_test_params,'1874930365 [:lKGO7 -96167275',com_get_node,'',tm_set_ack,'6666860989302194647 4838274738981281908',drp_clear_gnd_wdt,'',0,7.592264175415039,444020.0,10888.0
gssb_msp_cal_temp,'-2081428091 -2109607045',gssb_get_temp_int,'',gssb_get_temp_int,'',drp_get_vars,'',com_set_node,'-848855113',fp_set_cmd,'1414763081 -2102258537 2075012879 -1389372998 111254258 -765224081 -44067690 707079707 [+S&%R 7R`k',obc_reset_wdt,'',gssb_get_version,'',com_ping,'1668787825',gssb_pwr,'2010111326 1422189023',-11,6.580245733261108,444020.0,10476.0
gssb_get_burn_config,'',tm_send_from,'12069735290862525043 12079782690155508124 10471717054868142840',gssb_arm_manual,'417108628',gssb_select,'1357278839',fp_reset,'',gssb_antenna_release,'-1590483932 -1178162994 1371453282 1632461068',tm_send_status,'-1952281946',eps_get_config,'',com_send_cmd,"'1863658346 @""A^V'",tm_parse_status,'',-6,7.09828782081604,444020.0,10728.0
